"Woonplaatsen in Nederland, 2012"
"Onderwerpen";"Woonplaats";"Woonplaats";"Gemeente";"Gemeente"
"Pieterzijl";"Pieterzijl";"2125";"Zuidhorn";"0056"
"Pijnacker";"Pijnacker";"1141";"Pijnacker-Nootdorp";"1926"
"Pingjum";"Pingjum";"2321";"Súdwest Fryslân";"1900"
"Plasmolen";"Plasmolen";"2804";"Mook en Middelaar";"0944"
"Poederoijen";"Poederoijen";"2635";"Zaltbommel";"0297"
"Poeldijk";"Poeldijk";"2661";"Westland";"1783"
"De Pol";"De Pol";"2698";"Steenwijkerland";"1708"
"Polsbroek";"Polsbroek";"1962";"Lopik";"0331"
"Poortugaal";"Poortugaal";"2363";"Albrandswaard";"0613"
"Poortvliet";"Poortvliet";"2072";"Tholen";"0716"
"Poppenwier";"Poppenwier";"2533";"Boarnsterhim";"0055"
"Ten Post";"Ten Post";"1830";"Ten Boer";"0009"
"Posterholt";"Posterholt";"2593";"Roerdalen";"1669"
"Prinsenbeek";"Prinsenbeek";"1705";"Breda";"0758"
"Puiflijk";"Puiflijk";"2906";"Druten";"0225"
"De Punt";"De Punt";"2915";"Tynaarlo";"1730"
"Punthorst";"Punthorst";"1049";"Staphorst";"0180"
"Purmer";"Purmer";"1946";"Waterland";"0852"
"Purmer";"Purmer";"1749";"Edam-Volendam";"0385"
"Purmerend";"Purmerend";"3103";"Purmerend";"0439"
"Purmerland";"Purmerland";"1330";"Landsmeer";"0415"
"Puth";"Puth";"2102";"Schinnen";"0962"
"Putte";"Putte";"1003";"Woensdrecht";"0873"
"Putten";"Putten";"2007";"Putten";"0273"
"Puttershoek";"Puttershoek";"2384";"Binnenmaas";"0585"
"Raalte";"Raalte";"1491";"Raalte";"0177"
"Raamsdonk";"Raamsdonk";"1752";"Geertruidenberg";"0779"
"Raamsdonksveer";"Raamsdonksveer";"1750";"Geertruidenberg";"0779"
"Raard";"Raard";"3410";"Dongeradeel";"0058"
"Radewijk";"Radewijk";"1559";"Hardenberg";"0160"
"Radio Kootwijk";"Radio Kootwijk";"2252";"Apeldoorn";"0200"
"Raerd";"Raerd";"2534";"Boarnsterhim";"0055"
"Randwijk";"Randwijk";"1870";"Overbetuwe";"1734"
"Ransdaal";"Ransdaal";"1854";"Voerendaal";"0986"
"Rasquert";"Rasquert";"2470";"Winsum";"0053"
"Ravenstein";"Ravenstein";"3254";"Oss";"0828"
"Ravenswaaij";"Ravenswaaij";"3382";"Buren";"0214"
"Ravenswoud";"Ravenswoud";"1764";"Ooststellingwerf";"0085"
"Readtsjerk";"Readtsjerk";"3272";"Dantumadiel";"1891"
"Reahûs";"Reahûs";"2028";"Littenseradiel";"0140"
"Reduzum";"Reduzum";"2535";"Boarnsterhim";"0055"
"Reek";"Reek";"1852";"Landerd";"1685"
"Reeuwijk";"Reeuwijk";"2476";"Bodegraven-Reeuwijk";"1901"
"Reijmerstok";"Reijmerstok";"1227";"Gulpen-Wittem";"1729"
"Reitsum";"Reitsum";"3209";"Ferwerderadiel";"1722"
"Rekken";"Rekken";"1663";"Berkelland";"1859"
"Renesse";"Renesse";"2685";"Schouwen-Duiveland";"1676"
"Renkum";"Renkum";"2991";"Renkum";"0274"
"Renswoude";"Renswoude";"2141";"Renswoude";"0339"
"Ressen";"Ressen";"3137";"Lingewaard";"1705"
"Retranchement";"Retranchement";"2970";"Sluis";"1714"
"Reusel";"Reusel";"1877";"Reusel-De Mierden";"1667"
"Reutum";"Reutum";"1293";"Tubbergen";"0183"
"Reuver";"Reuver";"1949";"Beesel";"0889"
"Rha";"Rha";"1528";"Bronckhorst";"1876"
"Rheden";"Rheden";"1501";"Rheden";"0275"
"Rhee";"Rhee";"2393";"Assen";"0106"
"Rheeze";"Rheeze";"1560";"Hardenberg";"0160"
"Rheezerveen";"Rheezerveen";"1561";"Hardenberg";"0160"
"Rhenen";"Rhenen";"1399";"Rhenen";"0340"
"Rhenoy";"Rhenoy";"3528";"Geldermalsen";"0236"
"Rhoon";"Rhoon";"2362";"Albrandswaard";"0613"
"Ridderkerk";"Ridderkerk";"2562";"Ridderkerk";"0597"
"Ried";"Ried";"1370";"Franekeradeel";"0070"
"Riel";"Riel";"2881";"Goirle";"0785"
"Rien";"Rien";"2029";"Littenseradiel";"0140"
"Riethoven";"Riethoven";"1459";"Bergeijk";"1724"
"Rietmolen";"Rietmolen";"1657";"Berkelland";"1859"
"Rijen";"Rijen";"2070";"Gilze en Rijen";"0784"
"Rijkevoort";"Rijkevoort";"1221";"Boxmeer";"0756"
"Rijkevoort-De Walsert";"Rijkevoort-De Walsert";"2087";"Sint Anthonis";"1702"
"Rijnsaterwoude";"Rijnsaterwoude";"3040";"Kaag en Braassem";"1884"
"Rijnsburg";"Rijnsburg";"1708";"Katwijk";"0537"
"De Rijp";"De Rijp";"1902";"Graft-De Rijp";"0365"
"Rijpwetering";"Rijpwetering";"3041";"Kaag en Braassem";"1884"
"Rijs";"Rijs";"1682";"Gaasterlân-Sleat";"0653"
"Rijsbergen";"Rijsbergen";"3490";"Zundert";"0879"
"Rijsenhout";"Rijsenhout";"1601";"Haarlemmermeer";"0394"
"Rijssen";"Rijssen";"1566";"Rijssen-Holten";"1742"
"Rijswijk";"Rijswijk";"2459";"Rijswijk";"0603"
"Rijswijk";"Rijswijk";"3303";"Woudrichem";"0874"
"Rijswijk (Gld.)";"Rijswijk (Gld.)";"3383";"Buren";"0214"
"Rilland";"Rilland";"3465";"Reimerswaal";"0703"
"Rinsumageast";"Rinsumageast";"3270";"Dantumadiel";"1891"
"De Rips";"De Rips";"2094";"Gemert-Bakel";"1652"
"Ritthem";"Ritthem";"1077";"Vlissingen";"0718"
"Rockanje";"Rockanje";"1210";"Westvoorne";"0614"
"Roden";"Roden";"1647";"Noordenveld";"1699"
"Roderesch";"Roderesch";"1648";"Noordenveld";"1699"
"Roderwolde";"Roderwolde";"1649";"Noordenveld";"1699"
"Roelofarendsveen";"Roelofarendsveen";"3042";"Kaag en Braassem";"1884"
"Roermond";"Roermond";"2281";"Roermond";"0957"
"Rogat";"Rogat";"1084";"Meppel";"0119"
"Roggel";"Roggel";"2955";"Leudal";"1640"
"Rohel";"Rohel";"2502";"Skarsterlân";"0051"
"Rolde";"Rolde";"1177";"Aa en Hunze";"1680"
"Roodeschool";"Roodeschool";"3479";"Eemsmond";"1651"
"Roosendaal";"Roosendaal";"1588";"Roosendaal";"1674"
"Roosteren";"Roosteren";"2046";"Echt-Susteren";"1711"
"Rosmalen";"Rosmalen";"1596";"'s-Hertogenbosch";"0796"
"Rossum";"Rossum";"1414";"Dinkelland";"1774"
"Rossum";"Rossum";"1630";"Maasdriel";"0263"
"Roswinkel";"Roswinkel";"1997";"Emmen";"0114"
"Rotstergaast";"Rotstergaast";"2503";"Skarsterlân";"0051"
"Rotsterhaule";"Rotsterhaule";"2504";"Skarsterlân";"0051"
"Rotterdam";"Rotterdam";"3086";"Rotterdam";"0599"
"Rotterdam-Albrandswaard";"Rotterdam-Albrandswaard";"2364";"Albrandswaard";"0613"
"Rottevalle";"Rottevalle";"3287";"Smallingerland";"0090"
"Rottum";"Rottum";"2505";"Skarsterlân";"0051"
"Rottum";"Rottum";"3480";"Eemsmond";"1651"
"Rouveen";"Rouveen";"1047";"Staphorst";"0180"
"Rozenburg";"Rozenburg";"2437";"Rotterdam";"0599"
"Rozenburg";"Rozenburg";"1598";"Haarlemmermeer";"0394"
"Rozendaal";"Rozendaal";"2927";"Rozendaal";"0277"
"Rucphen";"Rucphen";"2581";"Rucphen";"0840"
"Ruigahuizen";"Ruigahuizen";"1683";"Gaasterlân-Sleat";"0653"
"Ruinen";"Ruinen";"3119";"Westerveld";"1701"
"Ruinen";"Ruinen";"3169";"De Wolden";"1690"
"Ruinerwold";"Ruinerwold";"3170";"De Wolden";"1690"
"Rumpt";"Rumpt";"3215";"Geldermalsen";"0236"
"Rutten";"Rutten";"1282";"Noordoostpolder";"0171"
"Ruurlo";"Ruurlo";"1658";"Berkelland";"1859"
"Ryptsjerk";"Ryptsjerk";"2445";"Tytsjerksteradiel";"0737"
"Saaksum";"Saaksum";"2126";"Zuidhorn";"0056"
"Saasveld";"Saasveld";"1415";"Dinkelland";"1774"
"Saaxumhuizen";"Saaxumhuizen";"2471";"Winsum";"0053"
"Sambeek";"Sambeek";"1222";"Boxmeer";"0756"
"Sandfirden";"Sandfirden";"2418";"Súdwest Fryslân";"1900"
"Santpoort-Noord";"Santpoort-Noord";"2837";"Velsen";"0453"
"Santpoort-Zuid";"Santpoort-Zuid";"2838";"Velsen";"0453"
"Sappemeer";"Sappemeer";"1021";"Hoogezand-Sappemeer";"0018"
"Sas van Gent";"Sas van Gent";"1134";"Terneuzen";"0715"
"Sassenheim";"Sassenheim";"2003";"Teylingen";"1525"
"Sauwerd";"Sauwerd";"2472";"Winsum";"0053"
"Schagen";"Schagen";"2460";"Schagen";"0441"
"Schagerbrug";"Schagerbrug";"2756";"Zijpe";"0476"
"Schaijk";"Schaijk";"1851";"Landerd";"1685"
"Schalkhaar";"Schalkhaar";"2860";"Deventer";"0150"
"Schalkwijk";"Schalkwijk";"2056";"Houten";"0321"
"Schalsum";"Schalsum";"1369";"Franekeradeel";"0070"
"Schardam";"Schardam";"1842";"Zeevang";"0478"
"Scharendijke";"Scharendijke";"2686";"Schouwen-Duiveland";"1676"
"Scharmer";"Scharmer";"1355";"Slochteren";"0040"
"Scharnegoutum";"Scharnegoutum";"2419";"Súdwest Fryslân";"1900"
"Scharsterbrug";"Scharsterbrug";"2506";"Skarsterlân";"0051"
"Scharwoude";"Scharwoude";"1189";"Koggenland";"1598"
"Scheemda";"Scheemda";"1893";"Oldambt";"1895"
"Scheerwolde";"Scheerwolde";"2711";"Steenwijkerland";"1708"
"Schellinkhout";"Schellinkhout";"1511";"Drechterland";"0498"
"Schelluinen";"Schelluinen";"1437";"Giessenlanden";"0689"
"Schermerhorn";"Schermerhorn";"1889";"Schermer";"0458"
"Scherpenisse";"Scherpenisse";"2073";"Tholen";"0716"
"Scherpenzeel";"Scherpenzeel";"2135";"Scherpenzeel";"0279"
"Scherpenzeel";"Scherpenzeel";"1737";"Weststellingwerf";"0098"
"Schettens";"Schettens";"2322";"Súdwest Fryslân";"1900"
"Scheulder";"Scheulder";"1697";"Eijsden-Margraten";"1903"
"Schiedam";"Schiedam";"1935";"Schiedam";"0606"
"Schiermonnikoog";"Schiermonnikoog";"2428";"Schiermonnikoog";"0088"
"Schijf";"Schijf";"2582";"Rucphen";"0840"
"Schijndel";"Schijndel";"2139";"Schijndel";"0844"
"Schildwolde";"Schildwolde";"1356";"Slochteren";"0040"
"Schimmert";"Schimmert";"2360";"Nuth";"0951"
"Schin op Geul";"Schin op Geul";"1717";"Valkenburg aan de Geul";"0994"
"Schinnen";"Schinnen";"2103";"Schinnen";"0962"
"Schinveld";"Schinveld";"2848";"Onderbanken";"0881"
"Schipborg";"Schipborg";"1178";"Aa en Hunze";"1680"
"Schiphol";"Schiphol";"1618";"Haarlemmermeer";"0394"
"Schiphol-Rijk";"Schiphol-Rijk";"1604";"Haarlemmermeer";"0394"
"De Schiphorst";"De Schiphorst";"1085";"Meppel";"0119"
"Schipluiden";"Schipluiden";"2805";"Midden-Delfland";"1842"
"Schokland";"Schokland";"1277";"Noordoostpolder";"0171"
"Schoondijke";"Schoondijke";"2971";"Sluis";"1714"
"Schoonebeek";"Schoonebeek";"1998";"Emmen";"0114"
"Schoonhoven";"Schoonhoven";"2390";"Schoonhoven";"0608"
"Schoonloo";"Schoonloo";"1179";"Aa en Hunze";"1680"
"Schoonoord";"Schoonoord";"2161";"Coevorden";"0109"
"Schoonrewoerd";"Schoonrewoerd";"2272";"Leerdam";"0545"
"Schoorl";"Schoorl";"3045";"Bergen (NH.)";"0373"
"Schore";"Schore";"1469";"Kapelle";"0678"
"Schouwerzijl";"Schouwerzijl";"3424";"De Marne";"1663"
"Schraard";"Schraard";"2323";"Súdwest Fryslân";"1900"
"Schuinesloot";"Schuinesloot";"1562";"Hardenberg";"0160"
"Sebaldeburen";"Sebaldeburen";"2181";"Grootegast";"0015"
"Sellingen";"Sellingen";"2295";"Vlagtwedde";"0048"
"Serooskerke";"Serooskerke";"2687";"Schouwen-Duiveland";"1676"
"Serooskerke";"Serooskerke";"2782";"Veere";"0717"
"Sevenum";"Sevenum";"1515";"Horst aan de Maas";"1507"
"Sexbierum";"Sexbierum";"1373";"Franekeradeel";"0070"
"Sibculo";"Sibculo";"1563";"Hardenberg";"0160"
"Sibculo";"Sibculo";"3324";"Twenterand";"1700"
"Sibrandabuorren";"Sibrandabuorren";"2536";"Boarnsterhim";"0055"
"Sibrandahûs";"Sibrandahûs";"3274";"Dantumadiel";"1891"
"Siddeburen";"Siddeburen";"1357";"Slochteren";"0040"
"Siebengewald";"Siebengewald";"1123";"Bergen (L.)";"0893"
"Siegerswoude";"Siegerswoude";"3354";"Opsterland";"0086"
"Sijbekarspel";"Sijbekarspel";"3156";"Medemblik";"0420"
"Silvolde";"Silvolde";"1578";"Oude IJsselstreek";"1509"
"Simonshaven";"Simonshaven";"1389";"Bernisse";"0568"
"Simpelveld";"Simpelveld";"3065";"Simpelveld";"0965"
"Sinderen";"Sinderen";"1579";"Oude IJsselstreek";"1509"
"Sint Agatha";"Sint Agatha";"1454";"Cuijk";"1684"
"Sint Annen";"Sint Annen";"1834";"Ten Boer";"0009"
"Sint Anthonis";"Sint Anthonis";"2083";"Sint Anthonis";"1702"
"Sint Geertruid";"Sint Geertruid";"1698";"Eijsden-Margraten";"1903"
"Sint Hubert";"Sint Hubert";"1977";"Mill en Sint Hubert";"0815"
"Sint Jansklooster";"Sint Jansklooster";"2712";"Steenwijkerland";"1708"
"Sint Jansteen";"Sint Jansteen";"3089";"Hulst";"0677"
"Sint Joost";"Sint Joost";"2044";"Echt-Susteren";"1711"
"Sint Kruis";"Sint Kruis";"2973";"Sluis";"1714"
"Sint Maarten";"Sint Maarten";"3291";"Harenkarspel";"0395"
"Sint Maartensbrug";"Sint Maartensbrug";"2759";"Zijpe";"0476"
"Sint Maartensvlotbrug";"Sint Maartensvlotbrug";"2760";"Zijpe";"0476"
"Sint Nicolaasga";"Sint Nicolaasga";"2507";"Skarsterlân";"0051"
"Sint Odiliënberg";"Sint Odiliënberg";"2594";"Roerdalen";"1669"
"Sint Pancras";"Sint Pancras";"1115";"Langedijk";"0416"
"Sint Philipsland";"Sint Philipsland";"2078";"Tholen";"0716"
"Sint-Annaland";"Sint-Annaland";"2076";"Tholen";"0716"
"Sintjohannesga";"Sintjohannesga";"2508";"Skarsterlân";"0051"
"Sint-Maartensdijk";"Sint-Maartensdijk";"2074";"Tholen";"0716"
"Sint-Michielsgestel";"Sint-Michielsgestel";"2060";"Sint-Michielsgestel";"0845"
"Sint-Oedenrode";"Sint-Oedenrode";"2787";"Sint-Oedenrode";"0846"
"Sirjansland";"Sirjansland";"2688";"Schouwen-Duiveland";"1676"
"Sittard";"Sittard";"3512";"Sittard-Geleen";"1883"
"Skingen";"Skingen";"2732";"Menameradiel";"1908"
"Slagharen";"Slagharen";"1564";"Hardenberg";"0160"
"Slappeterp";"Slappeterp";"2733";"Menameradiel";"1908"
"Sleen";"Sleen";"2162";"Coevorden";"0109"
"Sleeuwijk";"Sleeuwijk";"2217";"Werkendam";"0870"
"Slenaken";"Slenaken";"1229";"Gulpen-Wittem";"1729"
"Sliedrecht";"Sliedrecht";"2438";"Sliedrecht";"0610"
"Slijkenburg";"Slijkenburg";"1738";"Weststellingwerf";"0098"
"Slijk-Ewijk";"Slijk-Ewijk";"1871";"Overbetuwe";"1734"
"Slochteren";"Slochteren";"1358";"Slochteren";"0040"
"Slootdorp";"Slootdorp";"2435";"Hollands Kroon";"1911"
"Sloten";"Sloten";"1684";"Gaasterlân-Sleat";"0653"
"Sluis";"Sluis";"2962";"Sluis";"1714"
"Sluiskil";"Sluiskil";"1135";"Terneuzen";"0715"
"Smakt";"Smakt";"2334";"Venray";"0984"
"Smalle Ee";"Smalle Ee";"3288";"Smallingerland";"0090"
"Smallebrugge";"Smallebrugge";"2420";"Súdwest Fryslân";"1900"
"Smilde";"Smilde";"3021";"Midden-Drenthe";"1731"
"Smilde";"Smilde";"2457";"Assen";"0106"
"Snakkerburen";"Snakkerburen";"1200";"Leeuwarden";"0080"
"Sneek";"Sneek";"3504";"Súdwest Fryslân";"1900"
"Snelrewaard";"Snelrewaard";"1912";"Oudewater";"0589"
"Snikzwaag";"Snikzwaag";"2509";"Skarsterlân";"0051"
"Soerendonk";"Soerendonk";"1569";"Cranendonck";"1706"
"Soest";"Soest";"1013";"Soest";"0342"
"Soesterberg";"Soesterberg";"1014";"Soest";"0342"
"Someren";"Someren";"2745";"Someren";"0847"
"Sommelsdijk";"Sommelsdijk";"3145";"Middelharnis";"0559"
"Son";"Son";"2599";"Son en Breugel";"0848"
"Son en Breugel";"Son en Breugel";"3520";"Son en Breugel";"0848"
"Sondel";"Sondel";"1685";"Gaasterlân-Sleat";"0653"
"Sonnega";"Sonnega";"1739";"Weststellingwerf";"0098"
"Spaarndam";"Spaarndam";"3534";"Haarlemmerliede en Spaarnwoude";"0393"
"Spaarndam gem. Haarlem";"Spaarndam gem. Haarlem";"2908";"Haarlem";"0392"
"Spanbroek";"Spanbroek";"2792";"Opmeer";"0432"
"Spanga";"Spanga";"1740";"Weststellingwerf";"0098"
"Spankeren";"Spankeren";"1505";"Rheden";"0275"
"Spannum";"Spannum";"2030";"Littenseradiel";"0140"
"Spaubeek";"Spaubeek";"1671";"Beek";"0888"
"Spier";"Spier";"3022";"Midden-Drenthe";"1731"
"Spier";"Spier";"3120";"Westerveld";"1701"
"Spierdijk";"Spierdijk";"1190";"Koggenland";"1598"
"Spijk";"Spijk";"2356";"Lingewaal";"0733"
"Spijk";"Spijk";"2980";"Rijnwaarden";"0196"
"Spijk";"Spijk";"3241";"Delfzijl";"0010"
"Spijkenisse";"Spijkenisse";"3032";"Spijkenisse";"0612"
"Spijkerboor";"Spijkerboor";"2286";"Wormerland";"0880"
"Spijkerboor";"Spijkerboor";"1180";"Aa en Hunze";"1680"
"Sprang-Capelle";"Sprang-Capelle";"2596";"Waalwijk";"0867"
"Sprundel";"Sprundel";"2583";"Rucphen";"0840"
"Spui";"Spui";"1136";"Terneuzen";"0715"
"St. Willebrord";"St. Willebrord";"2584";"Rucphen";"0840"
"St.-Annaparochie";"St.-Annaparochie";"3331";"het Bildt";"0063"
"St.-Jacobiparochie";"St.-Jacobiparochie";"3332";"het Bildt";"0063"
"Stad aan 't Haringvliet";"Stad aan 't Haringvliet";"3146";"Middelharnis";"0559"
"Stadskanaal";"Stadskanaal";"3074";"Stadskanaal";"0037"
"Stampersgat";"Stampersgat";"1247";"Halderberge";"1655"
"Standdaarbuiten";"Standdaarbuiten";"1324";"Moerdijk";"1709"
"Staphorst";"Staphorst";"1046";"Staphorst";"0180"
"Starnmeer";"Starnmeer";"1907";"Graft-De Rijp";"0365"
"Startenhuizen";"Startenhuizen";"3452";"Loppersum";"0024"
"Startenhuizen";"Startenhuizen";"3481";"Eemsmond";"1651"
"Stavenisse";"Stavenisse";"2075";"Tholen";"0716"
"Stavoren";"Stavoren";"1969";"Súdwest Fryslân";"1900"
"Stedum";"Stedum";"3453";"Loppersum";"0024"
"De Steeg";"De Steeg";"1502";"Rheden";"0275"
"Steenbergen";"Steenbergen";"1650";"Noordenveld";"1699"
"Steenbergen";"Steenbergen";"1405";"Steenbergen";"0851"
"Steendam";"Steendam";"1359";"Slochteren";"0040"
"Steenderen";"Steenderen";"1526";"Bronckhorst";"1876"
"Steenenkamer";"Steenenkamer";"2608";"Voorst";"0285"
"Steensel";"Steensel";"2995";"Eersel";"0770"
"Steenwijk";"Steenwijk";"2713";"Steenwijkerland";"1708"
"Steenwijkerwold";"Steenwijkerwold";"2714";"Steenwijkerland";"1708"
"Stegeren";"Stegeren";"2553";"Ommen";"0175"
"Steggerda";"Steggerda";"1741";"Weststellingwerf";"0098"
"Stein";"Stein";"1913";"Stein";"0971"
"Stellendam";"Stellendam";"2933";"Goedereede";"0511"
"Sterksel";"Sterksel";"1316";"Heeze-Leende";"1658"
"Stevensbeek";"Stevensbeek";"2084";"Sint Anthonis";"1702"
"Stevensweert";"Stevensweert";"1922";"Maasgouw";"1641"
"Steyl";"Steyl";"1475";"Venlo";"0983"
"Stieltjeskanaal";"Stieltjeskanaal";"2163";"Coevorden";"0109"
"Stiens";"Stiens";"3230";"Leeuwarderadeel";"0081"
"Stitswerd";"Stitswerd";"3482";"Eemsmond";"1651"
"Stokkum";"Stokkum";"2210";"Montferland";"1955"
"Stolwijk";"Stolwijk";"2388";"Vlist";"0623"
"Stompetoren";"Stompetoren";"1890";"Schermer";"0458"
"Stoutenburg";"Stoutenburg";"2639";"Leusden";"0327"
"Stoutenburg Noord";"Stoutenburg Noord";"1667";"Amersfoort";"0307"
"Stramproy";"Stramproy";"1975";"Weert";"0988"
"Streefkerk";"Streefkerk";"1805";"Liesveld";"0694"
"Striep";"Striep";"2620";"Terschelling";"0093"
"Strijbeek";"Strijbeek";"3435";"Alphen-Chaam";"1723"
"Strijen";"Strijen";"2797";"Strijen";"0617"
"Strijensas";"Strijensas";"2798";"Strijen";"0617"
"Stroe";"Stroe";"1059";"Barneveld";"0203"
"Stroobos";"Stroobos";"3180";"Achtkarspelen";"0059"
"Stuifzand";"Stuifzand";"1819";"Hoogeveen";"0118"
"Stuifzand";"Stuifzand";"3023";"Midden-Drenthe";"1731"
"Sumar";"Sumar";"2453";"Tytsjerksteradiel";"0737"
"Surhuisterveen";"Surhuisterveen";"3181";"Achtkarspelen";"0059"
"Surhuizum";"Surhuizum";"3182";"Achtkarspelen";"0059"
"Susteren";"Susteren";"2045";"Echt-Susteren";"1711"
"Suwâld";"Suwâld";"2448";"Tytsjerksteradiel";"0737"
"Swalmen";"Swalmen";"2283";"Roermond";"0957"
"Sweikhuizen";"Sweikhuizen";"2104";"Schinnen";"0962"
"Swichum";"Swichum";"1204";"Leeuwarden";"0080"
"Swifterbant";"Swifterbant";"2431";"Dronten";"0303"
"Swolgen";"Swolgen";"1859";"Horst aan de Maas";"1507"
"Taarlo";"Taarlo";"2918";"Tynaarlo";"1730"
"Teeffelen";"Teeffelen";"3472";"Oss";"0828"
"Teerns";"Teerns";"1203";"Leeuwarden";"0080"
"Tegelen";"Tegelen";"1474";"Venlo";"0983"
"Terband";"Terband";"2182";"Heerenveen";"0074"
"Terborg";"Terborg";"1577";"Oude IJsselstreek";"1509"
"Terheijden";"Terheijden";"2578";"Drimmelen";"1719"
"Terherne";"Terherne";"2537";"Boarnsterhim";"0055"
"Terhole";"Terhole";"3096";"Hulst";"0677"
"Terkaple";"Terkaple";"2510";"Skarsterlân";"0051"
"Termunten";"Termunten";"3242";"Delfzijl";"0010"
"Termunterzijl";"Termunterzijl";"3243";"Delfzijl";"0010"
"Ternaard";"Ternaard";"3411";"Dongeradeel";"0058"
"Terneuzen";"Terneuzen";"1137";"Terneuzen";"0715"
"Teroele";"Teroele";"2511";"Skarsterlân";"0051"
"Terschuur";"Terschuur";"1058";"Barneveld";"0203"
"Tersoal";"Tersoal";"2538";"Boarnsterhim";"0055"
"Terwispel";"Terwispel";"3355";"Opsterland";"0086"
"Terwolde";"Terwolde";"2609";"Voorst";"0285"
"Teteringen";"Teteringen";"1706";"Breda";"0758"
"Teuge";"Teuge";"2610";"Voorst";"0285"
"Thesinge";"Thesinge";"1832";"Ten Boer";"0009"
"Tholen";"Tholen";"2071";"Tholen";"0716"
"Thorn";"Thorn";"1916";"Maasgouw";"1641"
"Tiel";"Tiel";"2557";"Tiel";"0281"
"Tiendeveen";"Tiendeveen";"1820";"Hoogeveen";"0118"
"Tiendeveen";"Tiendeveen";"3024";"Midden-Drenthe";"1731"
"Tienhoven";"Tienhoven";"2065";"Stichtse Vecht";"1904"
"Tienhoven";"Tienhoven";"2107";"Zederik";"0707"
"Tienray";"Tienray";"1860";"Horst aan de Maas";"1507"
"Tijnje";"Tijnje";"3356";"Opsterland";"0086"
"De Tike";"De Tike";"3276";"Smallingerland";"0090"
"Tilburg";"Tilburg";"1043";"Tilburg";"0855"
"Tilligte";"Tilligte";"1416";"Dinkelland";"1774"
"Tinallinge";"Tinallinge";"2473";"Winsum";"0053"
"Tinte";"Tinte";"1211";"Westvoorne";"0614"
"Tirns";"Tirns";"2421";"Súdwest Fryslân";"1900"
"Tjalhuizum";"Tjalhuizum";"2422";"Súdwest Fryslân";"1900"
"Tjalleberd";"Tjalleberd";"2184";"Heerenveen";"0074"
"Tjerkgaast";"Tjerkgaast";"2512";"Skarsterlân";"0051"
"Tjerkwerd";"Tjerkwerd";"2324";"Súdwest Fryslân";"1900"
"Tjuchem";"Tjuchem";"1360";"Slochteren";"0040"
"Tolbert";"Tolbert";"2345";"Leek";"0022"
"Toldijk";"Toldijk";"1531";"Bronckhorst";"1876"
"Tolkamer";"Tolkamer";"2981";"Rijnwaarden";"0196"
"Tollebeek";"Tollebeek";"1279";"Noordoostpolder";"0171"
"Tonden";"Tonden";"1110";"Brummen";"0213"
"Toornwerd";"Toornwerd";"3454";"Loppersum";"0024"
"Tricht";"Tricht";"3531";"Geldermalsen";"0236"
"Triemen";"Triemen";"3314";"Kollumerland en Nieuwkruisland";"0079"
"Tripscompagnie";"Tripscompagnie";"2276";"Menterwolde";"1987"
"Tubbergen";"Tubbergen";"1294";"Tubbergen";"0183"
"Tuil";"Tuil";"3366";"Neerijnen";"0304"
"Tuitjenhorn";"Tuitjenhorn";"3292";"Harenkarspel";"0395"
"Tuk";"Tuk";"2715";"Steenwijkerland";"1708"
"Tull en 't Waal";"Tull en 't Waal";"2055";"Houten";"0321"
"Twello";"Twello";"2611";"Voorst";"0285"
"Twijzel";"Twijzel";"3183";"Achtkarspelen";"0059"
"Twijzelerheide";"Twijzelerheide";"3184";"Achtkarspelen";"0059"
"Twisk";"Twisk";"3157";"Medemblik";"0420"
"Tynaarlo";"Tynaarlo";"2919";"Tynaarlo";"1730"
"Tytsjerk";"Tytsjerk";"2447";"Tytsjerksteradiel";"0737"
"Tzum";"Tzum";"1362";"Franekeradeel";"0070"
"Tzummarum";"Tzummarum";"1377";"Franekeradeel";"0070"
"Ubbena";"Ubbena";"2395";"Assen";"0106"
"Ubbergen";"Ubbergen";"2879";"Ubbergen";"0282"
"Uddel";"Uddel";"2255";"Apeldoorn";"0200"
"Uden";"Uden";"1847";"Uden";"0856"
"Udenhout";"Udenhout";"1045";"Tilburg";"0855"
"Uffelte";"Uffelte";"3121";"Westerveld";"1701"
"Ugchelen";"Ugchelen";"2256";"Apeldoorn";"0200"
"Uitdam";"Uitdam";"1947";"Waterland";"0852"
"Uitgeest";"Uitgeest";"2755";"Uitgeest";"0450"
"Uithoorn";"Uithoorn";"2062";"Uithoorn";"0451"
"Uithuizen";"Uithuizen";"3483";"Eemsmond";"1651"
"Uithuizermeeden";"Uithuizermeeden";"3484";"Eemsmond";"1651"
"Uitwellingerga";"Uitwellingerga";"2423";"Súdwest Fryslân";"1900"
"Uitwijk";"Uitwijk";"3304";"Woudrichem";"0874"
"Ulestraten";"Ulestraten";"1465";"Meerssen";"0938"
"Ulft";"Ulft";"1580";"Oude IJsselstreek";"1509"
"Ulicoten";"Ulicoten";"2884";"Baarle-Nassau";"0744"
"Ulrum";"Ulrum";"3425";"De Marne";"1663"
"Ulvenhout";"Ulvenhout";"1704";"Breda";"0758"
"Ulvenhout AC";"Ulvenhout AC";"3436";"Alphen-Chaam";"1723"
"Ureterp";"Ureterp";"3357";"Opsterland";"0086"
"Urk";"Urk";"2143";"Urk";"0184"
"Urmond";"Urmond";"1915";"Stein";"0971"
"Ursem";"Ursem";"1191";"Koggenland";"1598"
